Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
486,1851.469133,1.198419525,72,1.648696955,99,1.682005064,101,1.982282164,119,2.015716761,121,0,2.432880763,left,0,1,0.062205098,-1,-1,right,59.93921547,2,912,2
487,1853.920945,1.014681394,61,1.414864856,85,1.448235292,87,2.399046171,144,2.432386544,146,39,2.932944191,right,0,1,0.076605098,-1,1,right,59.93921547,2,912,2
488,1856.873405,1.165011692,70,1.615346683,97,1.648779447,99,2.399347909,144,2.432650152,146,27,2.733062173,right,0,1,0.076605098,-1,1,right,59.93921547,2,912,2
489,1859.625522,1.165016091,70,1.715448827,103,1.748781867,105,2.299230367,138,2.332613269,140,15,2.649769352,right,0,1,0.076605098,-1,1,left,59.93921547,2,912,2
490,1862.294224,1.148484675,69,1.748840894,105,1.782311421,107,2.532819389,152,2.566174427,154,27,2.950111346,left,0,1,0.076605098,-1,-1,right,59.93921547,2,912,2
491,1865.263295,1.014913471,61,1.61531002,97,1.648726285,99,2.449347286,147,2.482819279,149,30,2.883413736,left,0,1,0.076605098,1,-1,right,59.93921547,2,912,2
492,1868.165514,1.115081609,67,1.648777247,99,1.682194612,101,2.632900635,158,2.666301135,160,39,3.050055105,right,0,1,0.076605098,1,1,left,59.93921547,2,912,2
493,1871.23457,1.181570605,71,1.898787696,114,1.932130635,116,2.382381301,143,2.415774102,145,9,2.799733752,left,0,1,0.076605098,-1,-1,right,59.93921547,2,912,2
494,1874.05351,1.031666333,62,1.648746083,99,1.682115787,101,2.532804357,152,2.566223189,154,33,2.916552461,right,0,1,0.076605098,1,1,left,59.93921547,2,912,2
495,1876.989069,1.115150902,67,1.665491246,100,1.698806321,102,2.599646421,156,2.632868005,158,36,3.633654063,nope,0,0,0.076605098,-1,-1,right,59.93921547,2,912,2
496,1880.642214,1.164881171,70,1.615233394,97,1.648536737,99,2.249114402,135,2.282446708,137,18,3.283176305,nope,0,0,0.076605098,-1,-1,right,59.93921547,2,912,2
497,1883.944628,1.048352101,63,1.465306757,88,1.498602034,90,2.499399091,150,2.532720765,152,42,2.966583368,left,0,1,0.076605098,-1,-1,right,59.93921547,2,912,2
498,1886.930376,1.131591394,68,1.71545066,103,1.748739704,105,2.149038289,129,2.182385994,131,6,2.716329842,right,0,1,0.076605098,-1,1,right,59.93921547,2,912,2
499,1889.66583,1.11489096,67,1.665418653,100,1.698693765,102,2.299221568,138,2.332641133,140,18,2.666379961,left,0,1,0.076605098,-1,-1,right,59.93921547,2,912,2
500,1892.351272,1.215047365,73,1.948947657,117,1.9822543,119,2.882967178,173,2.916269788,175,36,3.917099109,nope,0,0,0.076605098,-1,-1,right,59.93921547,2,912,2
501,1896.287564,1.081720705,65,1.648803645,99,1.682227609,101,2.332663131,140,2.366131458,142,21,2.783166773,right,0,1,0.076605098,1,1,left,59.93921547,2,912,2
502,1899.09012,0.998007724,60,1.73183249,104,1.765246189,106,2.615862534,157,2.649180175,159,33,2.999634468,right,0,1,0.076605098,1,1,left,59.93921547,2,912,2
503,1902.108805,1.165157245,70,1.832325463,110,1.865733663,112,2.866467292,172,2.899784201,174,42,3.900661183,nope,0,0,0.061005098,-1,-1,right,59.93921547,2,912,2
504,1906.028851,1.114728909,67,1.748618349,105,1.781937824,107,2.582596587,155,2.615876099,157,30,3.066441335,left,0,1,0.061005098,1,-1,left,59.93921547,2,912,2
505,1909.114279,0.998324127,60,1.465274493,88,1.498717156,90,2.349388495,141,2.382636843,143,33,2.766467806,left,0,1,0.061005098,-1,-1,right,59.93921547,2,912,2
506,1911.900062,1.064840622,64,1.798619559,108,1.832044623,110,2.532555048,152,2.566025941,154,24,2.933017517,right,0,1,0.061005098,1,1,left,59.93921547,2,912,2
507,1914.852292,1.181619368,71,1.882192853,113,1.915465765,115,2.21569667,133,2.249056107,135,0,3.249938956,nope,0,1,0,1,1,left,59.93921547,2,912,2
508,1918.121524,1.014804215,61,1.431721474,86,1.465234897,88,1.815417516,109,1.848796385,111,3,2.849513883,nope,0,0,0.061005098,1,1,left,59.93921547,2,912,2
