Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,session,participant
-43,227.2151351,1.0963386,66,1.8464389,111,1.8797989,113,2.5962649,156,2.6297764,158,25,3.0632063,l,0,1,0.111077454,1,1,59.96778534,3,606
-44,230.2822204,1.0959004,66,1.5291493,92,1.5627672,94,2.2129711,133,2.2457698,135,21,2.8296531,b,0,1,0.107092734,0,0,59.96778534,3,606
-45,233.1158012,0.9959187,60,1.4954276,90,1.5287758,92,2.2790179,137,2.3121993,139,27,3.3128237,nope,0,0,0.103902936,-1,1,59.96778534,3,606
-46,236.4323558,1.1626388,70,1.9458348,117,1.9789359,119,2.7623763,166,2.7959758,168,29,3.7961751,nope,0,0,0.108327299,-1,-1,59.96778534,3,606
-47,240.2323008,1.0461545,63,1.5124984,91,1.5456805,93,2.4791527,149,2.5126341,151,38,3.5122477,nope,0,0,0.1121648,-1,0,59.96778534,3,606
-48,243.7481034,1.0468309,63,1.8135789,109,1.8468246,111,2.8300484,170,2.8632969,172,41,3.8634023,nope,0,0,0.115931889,1,1,59.96778534,3,606
-49,247.6142537,1.0642866,64,1.4642137,88,1.497486,90,2.3142028,139,2.3472121,141,31,3.3474557,nope,0,0,0.119516485,1,1,59.96778534,3,606
-50,250.9652094,1.0461794,63,1.6632998,100,1.6961812,102,2.0792714,125,2.1126948,127,5,3.112691,nope,0,0,0.123299564,1,1,59.96778534,3,606
-51,254.0822567,1.0459442,63,1.7289871,104,1.7624861,106,2.3791511,143,2.412758,145,19,3.4125513,nope,0,0,0.127060014,-1,1,59.96778534,3,606
-52,257.4992851,1.1788409,71,1.7454307,105,1.7788663,107,2.3120205,139,2.3450781,141,14,3.345243,nope,0,0,0.131130804,-1,0,59.96778534,3,606
-53,260.848189,1.1302207,68,1.8299384,110,1.8630358,112,2.8964653,174,2.9301375,176,44,3.3969515,l,0,1,0.13524629,1,1,59.96778534,3,606
-54,264.2488863,1.0962526,66,1.5458743,93,1.5790778,95,2.2794615,137,2.3124552,139,24,3.3124333,nope,0,0,0.132825447,1,1,59.96778534,3,606
-55,267.5652051,1.046128,63,1.5461611,93,1.5795533,95,2.1293087,128,2.1628259,130,15,3.1631201,nope,0,0,0.136253115,1,-1,59.96778534,3,606
-56,270.7333193,1.0112947,61,1.6610961,100,1.6948304,102,1.994788,120,2.027961,122,0,3.0280574,nope,0,0,0.139826404,1,1,59.96778534,3,606
-57,273.7655959,1.0790271,65,1.5455804,93,1.5790784,95,2.4454714,147,2.4789545,149,34,3.4790829,nope,0,0,0.143571935,-1,1,59.96778534,3,606
-58,277.2496867,1.128173,68,1.6615993,100,1.6949344,102,2.5451802,153,2.5779867,155,33,3.5783858,nope,0,0,0.147788,-1,-1,59.96778534,3,606
-59,280.8320401,1.0461457,63,1.7628794,106,1.7961732,108,2.0960969,126,2.1294774,128,0,3.1291399,nope,0,0,0.152148122,-1,0,59.96778534,3,606
-60,283.9649297,1.1132389,67,1.8634977,112,1.8964025,114,2.6300358,158,2.6632146,160,26,3.6630305,nope,0,0,0.156951203,-1,-1,59.96778534,3,606
-61,287.6316699,0.9965609,60,1.7797228,107,1.8130346,109,2.1794512,131,2.2131821,133,4,3.2131553,nope,0,0,0.162460507,1,1,59.96778534,3,606
-62,290.8493904,1.0285304,62,1.4953293,90,1.5286992,92,2.278888,137,2.3117808,139,27,2.9121646,a,0,1,0.168451634,-1,-1,59.96778534,3,606
-63,293.7658931,1.0788705,65,1.5293464,92,1.5623817,94,2.4454072,147,2.4788014,149,35,3.4787512,nope,0,0,0.165073013,0,0,59.96778534,3,606
-64,297.2484802,1.0460978,63,1.8291081,110,1.8626758,112,2.3460699,141,2.3790437,143,11,2.9800414,l,0,1,0.169503561,1,1,59.96778534,3,606
-65,300.2327454,0.9949072,60,1.4120671,85,1.4453963,87,2.0283003,122,2.0617903,124,17,2.7454311,a,0,1,0.166989407,-1,-1,59.96778534,3,606
-66,302.9819025,1.1130759,67,1.8963629,114,1.9296314,116,2.8794472,173,2.9128636,175,39,3.9129432,nope,0,0,0.165043775,-1,0,59.96778534,3,606
-67,306.8985717,1.1623528,70,1.6798183,101,1.7129209,103,2.3297318,140,2.3627898,142,19,3.3627372,nope,0,0,0.167935798,-1,-1,59.96778534,3,606
-68,310.2651562,1.1297728,68,1.8793934,113,1.9131611,115,2.4457908,147,2.4790891,149,14,3.0630046,b,0,1,0.170918268,0,0,59.96778534,3,606
-69,313.3319625,1.1961815,72,1.5963765,96,1.6292889,98,1.9793501,119,2.0126846,121,3,3.0127297,nope,0,0,0.169253687,1,1,59.96778534,3,606
