Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
178,1035.445105,1.116682884,67,1.733721767,104,1.767149349,106,2.917954214,175,2.951445589,177,39,3.435066716,a,0,1,0.159752515,-1,-1,59.94404568,322
179,1038.880883,1.066786604,64,1.483781711,89,1.517141466,91,2.301111112,138,2.334448136,140,17,2.818411329,a,0,1,0.159752515,-1,-1,59.94404568,322
180,1041.699959,1.200010412,72,1.934025117,116,1.967281849,118,2.784584486,167,2.817960373,169,19,3.318531584,a,0,1,0.159752515,1,-1,59.94404568,322
181,1045.019159,1.016589686,61,1.7004764,102,1.733831023,104,2.734619279,164,2.768025963,166,30,3.768767658,nope,0,1,0,-1,-1,59.94404568,322
182,1048.788639,1.016748804,61,1.550445127,93,1.583790583,95,2.751419779,165,2.784842961,167,40,3.785675947,nope,0,0,0.159752515,1,-1,59.94404568,322
183,1052.575006,1.166908399,70,1.683889647,101,1.717328228,103,2.617959493,157,2.651290651,159,24,3.102009945,a,0,1,0.159752515,-1,-1,59.94404568,322
184,1055.677679,1.166637458,70,1.716965263,103,1.750328685,105,3.034767252,182,3.068166603,184,47,4.068938361,nope,0,0,0.159752515,-1,-1,59.94404568,322
185,1059.747299,1.133481917,68,1.834080405,110,1.867326505,112,2.51795392,151,2.551263447,153,9,3.551983144,nope,0,0,0.159001765,-1,-1,59.94404568,322
186,1063.299976,1.183657936,71,2.00096314,120,2.034322162,122,2.751474407,165,2.784839295,167,13,3.419037242,a,0,1,0.159001765,-1,-1,59.94404568,322
187,1066.719694,1.199904823,72,1.783742701,107,1.817129587,109,2.834598821,170,2.867875351,172,31,3.46864645,a,0,1,0.159001765,-1,-1,59.94404568,322
188,1070.189006,1.199978515,72,1.666991624,100,1.700483366,102,2.567717847,154,2.601190158,156,22,3.601902155,nope,0,0,0.159001765,-1,1,59.94404568,322
189,1073.791581,1.016712874,61,1.567126837,94,1.600594749,96,2.251006585,135,2.28436964,137,9,3.285227557,nope,0,1,0,-1,-1,59.94404568,322
190,1077.077513,1.150073436,69,1.633762389,98,1.667053218,100,2.817982004,169,2.851451382,171,39,3.352106185,l,0,1,0.159001765,-1,1,59.94404568,322
191,1080.430446,0.999766823,60,1.416720134,85,1.450084288,87,2.41751169,145,2.450977035,147,28,2.918173459,l,0,1,0.159001765,-1,1,59.94404568,322
192,1083.349281,1.133368261,68,1.800505071,108,1.833860793,110,2.434363151,146,2.467683677,148,6,3.001802358,a,0,1,0.159001765,-1,-1,59.94404568,322
193,1086.351752,1.049914245,63,1.533559202,92,1.566909792,94,2.417502158,145,2.450867779,147,21,3.001605844,a,0,1,0.159001765,-1,-1,59.94404568,322
194,1089.354035,1.066602188,64,1.633626369,98,1.66706605,100,2.851309129,171,2.884667785,173,41,3.88547254,nope,0,1,0,1,1,59.94404568,322
195,1093.240181,1.166969259,70,1.650646114,99,1.683955641,101,2.184285242,131,2.217663329,133,0,2.668310396,l,0,1,0.159001765,1,1,59.94404568,322
196,1095.909155,0.999883778,60,1.516956317,91,1.550265111,93,2.084000296,125,2.11744401,127,2,2.55137307,l,0,1,0.159001765,1,1,59.94404568,322
197,1098.461188,0.999887811,60,1.683703398,101,1.717124014,103,2.767882244,166,2.801177839,168,33,3.802001659,nope,0,0,0.159001765,1,-1,59.94404568,322
198,1102.263896,1.050092428,63,1.767421022,106,1.800669688,108,2.968250488,178,3.001630041,180,40,3.218670097,l,0,1,0.159001765,-1,1,59.94404568,322
199,1105.483236,1.116695349,67,1.617057214,97,1.650420636,99,2.717980831,163,2.751293291,165,34,3.752141308,nope,0,0,0.159001765,1,1,59.94404568,322
200,1109.236044,1.216920901,73,1.867456292,112,1.900819347,114,2.934900999,176,2.96826882,178,32,3.335585792,l,0,1,0.159001765,1,1,59.94404568,322
201,1112.572307,1.216671225,73,1.667013988,100,1.700335247,102,2.450861913,147,2.484255031,149,15,3.418554755,l,0,0,0,-1,-1,59.94404568,322
202,1115.991522,1.100009239,66,1.867192318,112,1.90065583,114,2.667883637,160,2.701191697,162,16,3.168476113,a,0,1,0.159001765,1,-1,59.94404568,322
203,1119.160664,1.116704515,67,1.567056078,94,1.600317576,96,2.534504377,152,2.567821237,154,26,3.068418479,a,0,1,0.159001765,-1,-1,59.94404568,322
204,1122.229739,1.016529192,61,1.633685764,98,1.667044052,100,2.384236993,143,2.417645144,145,13,3.418421668,nope,0,1,0,-1,-1,59.94404568,322
205,1125.648843,1.066918958,64,1.600584483,96,1.633938006,98,2.367830622,142,2.401194044,144,14,3.402038028,nope,0,0,0.158539765,-1,-1,59.94404568,322
206,1129.051558,1.166821874,70,1.967525659,118,2.000901179,120,2.868191021,172,2.901514479,174,22,3.235382238,l,0,1,0.158539765,1,1,59.94404568,322
207,1132.287632,1.049920844,63,1.867192318,112,1.900566372,114,3.018107539,181,3.05147316,183,37,3.385331387,l,0,1,0.158539765,1,1,59.94404568,322
208,1135.67363,1.049886748,63,1.833826696,110,1.867195251,112,2.434377816,146,2.467726572,148,4,2.851606834,l,0,1,0.158539765,1,1,59.94404568,322
209,1138.525895,1.133263771,68,1.700502798,102,1.733801326,104,2.951340366,177,2.984734218,179,43,3.601875758,a,0,1,0.158539765,-1,-1,59.94404568,322
210,1142.12863,1.083294898,65,1.733842755,104,1.767151548,106,2.617937129,157,2.651192027,159,21,2.98505612,l,0,1,0.158539765,-1,1,59.94404568,322
211,1145.114342,1.033275797,62,1.650297814,99,1.683806788,101,2.684526852,161,2.71781988,163,30,3.168443116,a,0,1,0.158539765,-1,-1,59.94404568,322
212,1148.2835,1.016610218,61,1.717188908,103,1.750454073,105,3.018100206,181,3.051561885,183,46,3.535428287,l,0,1,0.158539765,1,1,59.94404568,322
213,1151.819617,1.149939983,69,1.700359445,102,1.7337269,104,2.60105927,156,2.634529381,158,22,3.068417012,a,0,1,0.158539765,-1,-1,59.94404568,322
