Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,date,frameRate,participant
149,1026.203185,1.032710073,62,1.849961815,111,1.883299561,113,2.950820135,177,2.984285834,179,34,3.317766309,a,0,1,0.125170249,1,-1,NA,59.96027619,223
150,1029.539091,1.049380046,63,1.533179177,92,1.566391168,94,2.667386607,160,2.700816377,162,36,3.017603048,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
151,1032.574821,1.016043034,61,1.4663673,88,1.49966325,90,2.700667891,162,2.734025068,164,42,3.017634945,a,0,1,0.125170249,1,-1,NA,59.96027619,223
152,1035.610485,0.999433189,60,1.616580368,97,1.649839287,99,2.767467303,166,2.800805048,168,37,3.1010629,a,0,1,0.131428761,1,-1,NA,59.96027619,223
153,1038.729644,1.149536634,69,1.866675784,112,1.899960001,114,3.067615898,184,3.101032836,186,40,4.101762065,nope,0,0,0.125170249,-1,-1,NA,59.96027619,223
154,1042.832693,1.199583214,72,1.850148431,111,1.883388285,113,3.151152742,189,3.184550248,191,46,3.551416863,a,0,1,0.125170249,1,-1,NA,59.96027619,223
155,1046.402323,1.099457056,66,1.683175566,101,1.716467482,103,2.617270734,157,2.650651375,159,24,3.651445131,nope,0,1,0,-1,-1,NA,59.96027619,223
156,1050.055063,1.166266,70,1.850183994,111,1.883490942,113,2.450620871,147,2.483896289,149,4,2.984409022,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
157,1053.057605,1.03250256,62,1.482953681,89,1.51618657,91,2.066744783,124,2.100009202,126,3,2.450333799,a,0,1,0.125170249,1,-1,NA,59.96027619,223
158,1055.52607,1.016100228,61,1.599848801,96,1.63318728,98,3.117696942,187,3.151141744,189,59,4.15182771,nope,0,1,0,1,1,NA,59.96027619,223
159,1059.679186,1.199738299,72,1.850268319,111,1.883546303,113,3.518140712,211,3.551505221,213,68,4.552355072,nope,0,0,0.112653224,-1,-1,NA,59.96027619,223
160,1064.232823,1.182972269,71,1.90020491,114,1.933451731,116,3.301286618,198,3.334601998,200,52,3.701639463,a,0,1,0.125170249,1,-1,NA,59.96027619,223
161,1067.952506,1.199486423,72,1.983475213,119,2.016716535,121,3.668208961,220,3.701465314,222,69,4.018400837,a,0,1,0.125170249,1,-1,NA,59.96027619,223
162,1071.988989,1.099488587,66,1.633192046,98,1.666519525,100,3.301235656,198,3.334551037,200,68,3.684862801,l,0,1,0.125170249,-1,1,NA,59.96027619,223
163,1075.69186,1.166230804,70,1.833374335,110,1.866611623,112,3.534711328,212,3.568043207,214,70,3.951697849,l,0,1,0.118911736,-1,1,NA,59.96027619,223
164,1079.661618,1.182731393,71,1.733202715,104,1.766466034,106,2.467074531,148,2.500448206,150,12,3.000837018,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
165,1082.680789,0.999276271,60,1.599693717,96,1.632989666,98,3.084284038,185,3.117650747,187,57,4.118331947,nope,0,0,0.125170249,-1,1,NA,59.96027619,223
166,1086.800425,0.999498082,60,1.666695142,100,1.699943429,102,2.75097808,165,2.784271096,167,33,3.217976352,a,0,1,0.118911736,-1,-1,NA,59.96027619,223
167,1090.036512,1.166071686,70,1.799889937,108,1.833126859,110,2.533719225,152,2.567083,154,12,3.567857325,nope,0,0,0.137687274,1,1,NA,59.96027619,223
168,1093.605734,1.166320995,70,1.599982622,96,1.633259139,98,3.21795802,193,3.251252869,195,65,3.8183707,l,0,1,0.137687274,1,1,NA,59.96027619,223
169,1097.442208,0.999356196,60,1.783401814,107,1.816596573,109,2.967619161,178,3.000984037,180,39,3.284477692,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
170,1100.744701,1.11618239,67,1.933536789,116,1.966769678,118,2.767490401,166,2.800883874,168,18,3.334592466,l,0,1,0.131428761,1,1,NA,59.96027619,223
171,1104.097395,1.049447506,63,1.833376901,110,1.866702914,112,3.317918094,199,3.351320366,201,57,3.951746978,a,0,1,0.131428761,1,-1,NA,59.96027619,223
172,1108.067278,1.132771704,68,1.71652211,103,1.749801194,105,2.266934772,136,2.300350976,138,1,2.784131409,l,0,1,0.118911736,-1,1,NA,59.96027619,223
173,1110.869487,1.099426259,66,1.783228031,107,1.816503815,109,2.900805451,174,2.934110566,176,35,3.284461927,l,0,1,0.118911736,1,1,NA,59.96027619,223
174,1114.171955,1.082813848,65,1.549761158,93,1.583059307,95,3.034353679,182,3.06767236,184,57,3.417896499,l,0,1,0.131428761,1,1,NA,59.96027619,223
175,1117.607943,1.116138028,67,1.633061159,98,1.666345376,100,2.633904043,158,2.667222723,160,28,3.668086506,nope,0,0,0.125170249,1,1,NA,59.96027619,223
176,1121.27749,1.016126259,61,1.666600184,100,1.699876702,102,2.950979986,177,2.984336429,179,45,3.985075191,nope,0,0,0.118911736,1,-1,NA,59.96027619,223
177,1154.686653,1.083088821,65,1.566770631,94,1.60003505,96,3.084736094,185,3.118028743,187,59,4.118791702,nope,0,0,0.112653224,1,-1,NA,59.96027619,223
178,1158.806817,1.049502134,63,1.683308653,101,1.716652997,103,2.734191518,164,2.767551995,166,31,3.768343551,nope,0,1,0,-1,-1,NA,59.96027619,223
179,1162.576457,1.016082996,61,1.466487922,88,1.49972521,90,2.283732698,137,2.317200231,139,17,2.667421071,l,0,1,0.118911736,1,1,NA,59.96027619,223
180,1165.261947,1.182854214,71,1.883462711,113,1.916743629,115,2.51727363,151,2.55063374,153,6,2.917533351,l,0,1,0.137687274,-1,1,NA,59.96027619,223
181,1168.197578,1.116183857,67,1.916842619,115,1.950044344,117,3.334505208,200,3.367936077,202,53,3.718203479,a,0,1,0.118911736,-1,-1,NA,59.96027619,223
182,1171.933976,1.065985858,64,1.666484329,100,1.699724917,102,3.301094137,198,3.334459379,200,66,4.335235537,nope,0,0,0.131428761,1,-1,NA,59.96027619,223
183,1176.270503,1.116194122,67,1.900018295,114,1.93339417,116,2.46719002,148,2.500483403,150,2,2.934200024,a,0,1,0.125170249,1,-1,NA,59.96027619,223
