Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,wmarith_probeStartTime,wmarith_probeStartFrame,ButtonPressTime_wmarith,Key_wmarith,false_presses_wmarith,Acc_wmarith,PenultimateAbsent,Corr_wmarith_choice,frameRate,session,participant
-2,281.6749993,1.142746291,69,1.926115787,116,1.959860463,118,2.793504219,168,2.826364277,170,32,3.826526409,nope,0,0,0.0935,1,1,bottom,0.493126137,30,1.993481123,nope,0,0,bottom,TRUE,60.08401695,4,714
-3,287.5433691,1.191496503,72,1.674287668,101,1.707552773,103,2.324294665,140,2.357211611,142,19,3.357093852,nope,0,0,0.0935,-1,-1,right,0.49387593,30,1.993820179,nope,0,0,bottom,FALSE,60.08401695,4,714
-4,292.9415986,1.009098212,61,1.45877332,88,1.492379757,90,2.17602448,131,2.208874866,133,23,3.209258296,nope,0,0,0.0935,1,0,left,0.491678319,30,1.342652652,d,0,1,right,FALSE,60.08401695,4,714
-5,297.5420584,1.092341756,66,1.525945803,92,1.558869007,94,2.108403714,127,2.141932214,129,15,3.142656407,nope,0,0,0.0935,-1,-1,right,0.493290546,30,1.993750775,nope,0,0,left,FALSE,60.08401695,4,714
-6,302.7258209,1.125661473,68,1.675217798,101,1.708026087,103,2.191930564,132,2.224929998,134,11,3.22468367,nope,0,0,0.0935,0,0,left,0.498395169,30,1.999868587,nope,0,0,right,FALSE,60.08401695,4,714
-7,307.9879658,1.097380957,66,1.813682076,109,1.847476815,111,2.463852913,148,2.497580523,150,19,3.497389377,nope,0,0,0.0935,1,1,bottom,0.493853175,30,1.993927699,nope,0,0,left,FALSE,60.08401695,4,714
-8,313.525989,1.041853593,63,1.441748804,87,1.474485982,89,2.058645434,124,2.091989614,126,17,3.092631888,nope,0,0,0.0935,-1,0,right,0.505051718,30,2.004047632,nope,0,0,bottom,FALSE,60.08401695,4,714
-9,318.6699584,1.031885554,62,1.748943292,105,1.782042282,107,2.415013386,145,2.448869564,147,20,3.449133528,nope,0,0,0.0935,0,-1,right,0.493953868,30,1.994727554,nope,0,0,right,TRUE,60.08401695,4,714
-10,324.1563307,1.061623558,64,1.545257245,93,1.57912025,95,2.528326027,152,2.562013815,154,39,3.561799344,nope,0,0,0.0935,1,1,bottom,0.49500062,30,1.112081569,d,0,1,right,FALSE,60.08401695,4,714
-11,328.8738476,1.110426108,67,1.761449138,106,1.794475879,108,2.293998582,138,2.327073679,140,12,3.327264256,nope,0,0,0.0935,-1,1,bottom,0.49364098,30,1.994171752,nope,0,0,bottom,TRUE,60.08401695,4,714
-12,334.2434439,1.191337783,72,1.874220198,113,1.906918122,115,2.456894286,148,2.490350537,150,15,3.490103071,nope,0,0,0.0935,0,0,right,0.496386429,30,1.996673717,nope,0,0,bottom,FALSE,60.08401695,4,714
-13,339.7781636,1.188078629,72,1.788927523,108,1.821864948,110,2.905625042,175,2.939119408,177,47,3.939188244,nope,0,0,0.0935,-1,-1,bottom,0.495421597,30,1.995101882,nope,0,0,right,FALSE,60.08401695,4,714
-14,345.7563582,1.011752639,61,1.778190916,107,1.811618723,109,2.877688134,173,2.911717823,175,46,3.91189304,nope,0,0,0.0935,1,0,left,0.493571007,30,0.877528845,d,0,1,bottom,FALSE,60.08401695,4,714
-15,350.5907045,1.160597969,70,1.926971962,116,1.960144338,118,2.927116459,176,2.960034543,178,40,3.960043645,nope,0,0,0.0935,-1,-1,right,0.496844383,30,1.995284495,nope,0,0,left,FALSE,60.08401695,4,714
-16,356.5868696,1.164480623,70,1.764991598,106,1.798330089,108,2.198367522,132,2.231423276,134,6,3.231391987,nope,0,0,0.0935,1,-1,bottom,0.495921079,30,1.230360595,d,0,1,right,FALSE,60.08401695,4,714
-17,361.0905486,1.093032953,66,1.82566739,110,1.858662842,112,2.475520219,149,2.508672684,151,19,3.508278445,nope,0,0,0.0935,0,-1,right,0.496142945,30,1.994910736,nope,0,0,bottom,FALSE,60.08401695,4,714
-18,366.6400503,1.060458478,64,1.460832123,88,1.494254809,90,2.078028556,125,2.110791333,127,17,3.111035955,nope,0,0,0.0935,1,1,left,0.493604571,30,0.793189056,s,0,0,right,FALSE,60.08401695,4,714
-19,370.5897732,1.010442492,61,1.726750437,104,1.759922813,106,2.127579192,128,2.160513773,130,4,3.160871603,nope,0,0,0.0935,-1,-1,right,0.493754757,30,1.993704126,nope,0,0,left,FALSE,60.08401695,4,714
0,433.5849878,1.066464788,64,1.700057116,102,1.733679482,104,2.149737345,129,2.18373347,131,7,3.183037721,nope,0,0,0.0935,1,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-1,436.7902712,1.177102521,71,1.576698498,95,1.609947105,97,2.277226084,137,2.310441695,139,22,3.309750497,nope,0,0,0.0935,1,-1,bottom,0.498317232,30,1.998464574,nope,0,0,bottom,TRUE,60.08401695,4,714
-2,442.1401084,1.027616625,62,1.644194678,99,1.677187855,101,2.509729676,151,2.543441357,153,32,3.543713854,nope,0,0,0.0935,1,1,bottom,0.495479054,30,1.995502379,nope,0,0,bottom,TRUE,60.08401695,4,714
-3,447.7233792,1.110837982,67,1.694082664,102,1.727299413,104,2.344648308,141,2.377289344,143,19,3.377371264,nope,0,0,0.0935,-1,-1,right,0.494815732,30,1.994303733,nope,0,0,bottom,FALSE,60.08401695,4,714
-4,453.1392283,1.028611608,62,1.710624763,103,1.744334169,105,2.428738925,146,2.461416939,148,23,3.461630271,nope,0,0,0.0935,1,0,left,0.494511377,30,1.295180161,d,0,1,right,FALSE,60.08401695,4,714
-5,457.9388327,1.04546432,63,1.69499971,102,1.728827444,104,2.279433366,137,2.31247888,139,15,3.311649443,nope,0,0,0.0935,-1,-1,right,0.497194818,30,1.864157154,d,0,1,left,FALSE,60.08401695,4,714
-6,463.1563245,1.094084257,66,1.810876894,109,1.843918426,111,2.328022014,140,2.36132694,142,11,3.361066959,nope,0,0,0.0935,0,0,left,0.491339831,30,1.857983022,d,0,1,right,FALSE,60.08401695,4,714
-7,468.4254843,1.191577285,72,1.992128309,120,2.024921806,122,2.641559024,159,2.674416236,161,19,3.674743347,nope,0,0,0.0935,1,1,bottom,0.495219642,30,1.995814129,nope,0,0,left,FALSE,60.08401695,4,714
-8,474.137471,1.030924703,62,1.663976589,100,1.697589284,102,2.280065399,137,2.312904408,139,17,3.313530752,nope,0,0,0.0935,-1,0,right,0.495870448,30,1.996023479,nope,0,0,bottom,FALSE,60.08401695,4,714
-9,479.4861186,1.182093368,71,1.581944775,95,1.615056849,97,2.248840893,135,2.282059918,137,20,3.282140131,nope,0,0,0.0935,0,-1,right,0.495687267,30,1.995378361,nope,0,0,right,TRUE,60.08401695,4,714
-10,484.8067445,1.043558548,63,1.793354602,108,1.827071403,110,2.777450225,167,2.810595295,169,39,3.810480949,nope,0,0,0.0935,1,1,bottom,0.496718659,30,0.997509412,d,1,1,right,FALSE,60.08401695,4,714
-11,489.6560122,0.994441404,60,1.528108712,92,1.561885815,94,2.061885815,124,2.094245252,126,12,3.094466549,nope,0,0,0.0935,-1,1,bottom,0.495223055,30,0.846431201,s,1,1,bottom,TRUE,60.08401695,4,714
-12,493.6392465,1.177690751,71,1.795192107,108,1.828355382,110,2.378254176,143,2.411502215,145,15,3.412038675,nope,0,0,0.0935,0,0,right,0.490090555,30,0.891193514,d,0,1,bottom,FALSE,60.08401695,4,714
-13,497.9887065,1.04577607,63,1.6953217,102,1.729139194,104,2.811858224,169,2.845699612,171,47,3.845374777,nope,0,0,0.0935,-1,-1,bottom,0.495622983,30,0.913330049,d,0,1,right,FALSE,60.08401695,4,714
-14,502.7887603,1.045762417,63,1.779110238,107,1.811926491,109,2.878586976,173,2.91171953,175,46,3.911835014,nope,0,0,0.0935,1,0,left,0.495520583,30,1.128417732,d,0,1,bottom,FALSE,60.08401695,4,714
-15,507.8717706,1.079195343,65,1.812237103,109,1.846187717,111,2.813391944,169,2.846839661,171,40,3.845556252,nope,0,0,0.0935,-1,-1,right,0.497494052,30,1.032250779,d,0,1,left,FALSE,60.08401695,4,714
-16,512.7921065,1.057075306,64,1.590490028,96,1.624398544,98,2.023924547,122,2.056538845,124,6,3.057014435,nope,0,0,0.0935,1,-1,bottom,0.497104933,30,1.048201236,d,0,1,right,FALSE,60.08401695,4,714
-17,516.9416487,1.024972437,62,1.674711489,101,1.707566995,103,2.324927837,140,2.357192838,142,19,3.357756036,nope,0,0,0.0935,0,-1,right,0.494956816,30,1.994432871,nope,0,0,bottom,FALSE,60.08401695,4,714
-18,522.337878,1.09612713,66,1.662760877,100,1.696202337,102,2.279740565,137,2.312680266,139,17,3.312631911,nope,0,0,0.0935,1,1,left,0.495415339,30,1.995357312,nope,0,0,right,FALSE,60.08401695,4,714
-19,527.6900942,1.010038582,61,1.544233817,93,1.577003421,95,1.943679607,117,1.97745216,119,4,2.97760007,nope,0,0,0.0935,-1,-1,right,0.494662132,30,2.010312217,nope,0,0,left,FALSE,60.08401695,4,714
0,556.0511333,0.999966436,60,1.532533516,92,1.565919225,94,1.982220571,119,2.016574526,121,7,3.016307718,nope,0,0,0.0935,1,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-1,559.0894626,1.161339797,70,1.827552682,110,1.860827458,112,2.528438666,152,2.561093355,154,22,3.561142849,nope,0,0,0.0935,1,-1,bottom,0.493126137,30,0.810701677,s,0,1,bottom,TRUE,60.08401695,4,714
-2,563.5054289,1.095658936,66,1.578025711,95,1.61205028,97,2.445023319,147,2.477907838,149,32,3.478283303,nope,0,0,0.0935,1,1,bottom,0.494764532,30,0.895415225,s,0,1,bottom,TRUE,60.08401695,4,714
-3,567.9236593,1.093882871,66,1.760132164,106,1.793252202,108,2.410108441,145,2.443470826,147,19,3.442907059,nope,0,0,0.0935,-1,-1,right,0.497750051,30,0.798110498,d,0,1,bottom,FALSE,60.08401695,4,714
-4,572.2049621,1.062928585,64,1.579434845,95,1.613216499,97,2.295820728,138,2.3294192,140,23,3.328614794,nope,0,0,0.0935,1,0,left,0.496192439,30,0.764162729,d,0,1,right,FALSE,60.08401695,4,714
-5,576.3412947,1.075251818,65,1.575169329,95,1.608259217,97,2.157981088,130,2.191658067,132,15,3.191517552,nope,0,0,0.0935,-1,-1,right,0.494394755,30,0.729259229,d,0,1,left,FALSE,60.08401695,4,714
-6,580.3078703,1.19127293,72,1.691301944,102,1.724708701,104,2.208311668,133,2.241366285,135,11,3.24113873,nope,0,0,0.0935,0,0,left,0.495432405,30,0.828089711,d,0,1,right,FALSE,60.08401695,4,714
-7,584.4211818,1.145977001,69,1.71308008,103,1.746852632,105,2.362501124,142,2.396427275,144,19,3.396635488,nope,0,0,0.0935,1,1,bottom,0.493862846,30,0.77735067,d,0,1,left,FALSE,60.08401695,4,714
-8,588.6397198,0.994492604,60,1.494552337,90,1.527766242,92,2.110385717,127,2.143759479,129,17,3.144120722,nope,0,0,0.0935,-1,0,right,0.496055906,30,0.713637589,d,0,1,bottom,FALSE,60.08401695,4,714
-9,592.5378105,1.045572977,63,1.479785734,89,1.512919995,91,2.146593106,129,2.180189872,131,20,3.179651705,nope,0,0,0.0935,0,-1,right,0.496330678,30,0.73092038,s,0,1,right,TRUE,60.08401695,4,714
-10,596.4906071,1.092655212,66,1.742282762,105,1.776551952,107,2.726547913,164,2.759261767,166,39,3.759149696,nope,0,0,0.0935,1,1,bottom,0.495848831,30,0.796388477,d,0,1,right,FALSE,60.08401695,4,714
-11,601.0911283,1.193662825,72,1.708378797,103,1.742022212,105,2.243039382,135,2.276053607,137,12,3.275481876,nope,0,0,0.0935,-1,1,bottom,0.494666683,30,0.762055571,s,0,1,bottom,TRUE,60.08401695,4,714
-12,605.1739065,1.12581166,68,1.575230769,95,1.60890149,97,2.158584108,130,2.192304323,132,15,3.193056391,nope,0,0,0.0935,0,0,right,0.493055026,30,0.745806449,d,0,1,bottom,FALSE,60.08401695,4,714
-13,609.1568627,0.992743845,60,1.759127509,106,1.791760012,108,2.875677687,173,2.908978063,175,47,3.909313137,nope,0,0,0.0935,-1,-1,bottom,0.494687732,30,0.778995892,d,0,1,right,FALSE,60.08401695,4,714
-14,613.8892041,1.177256121,71,1.877414499,113,1.910561275,115,2.977552852,179,3.010846402,181,46,4.011147343,nope,0,0,0.0935,1,0,left,0.494800941,30,0.812288303,d,0,1,bottom,FALSE,60.08401695,4,714
-15,618.7570733,1.192256536,72,1.926125458,116,1.959384305,118,2.926030454,176,2.959602757,178,40,3.959132857,nope,0,0,0.0935,-1,-1,right,0.496330109,30,0.796824813,d,0,1,left,FALSE,60.08401695,4,714
-16,623.5557538,1.177093988,71,1.678169185,101,1.71209875,103,2.110927297,127,2.144252135,129,6,3.144382979,nope,0,0,0.0935,1,-1,bottom,0.49480151,30,0.79509881,d,0,1,right,FALSE,60.08401695,4,714
-17,627.5385518,1.028637777,62,1.712345078,103,1.745830911,105,2.361748486,142,2.395024969,144,19,3.394764418,nope,0,0,0.0935,0,-1,right,0.495821524,30,0.796307126,d,0,1,bottom,FALSE,60.08401695,4,714
-18,631.7725134,1.145003066,69,1.694310219,102,1.727393848,104,2.31108852,139,2.344154514,141,17,3.345026618,nope,0,0,0.0935,1,1,left,0.490583781,30,0.757018076,d,0,1,right,FALSE,60.08401695,4,714
-19,635.9233282,1.0945223,66,1.743675398,105,1.776942209,107,2.143768581,129,2.177036531,131,4,3.176650256,nope,0,0,0.0935,-1,-1,right,0.494924389,30,0.795412267,d,0,1,left,FALSE,60.08401695,4,714
-20,646.8014248,1.132647976,68,1.616300436,97,1.649265737,99,2.416343444,145,2.449135804,147,28,3.449213172,nope,1,0,0.0935,0,-1,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-21,650.2709143,1.179899171,71,1.929389163,116,1.962965449,118,2.329528427,140,2.362893087,142,4,3.129869531,left,1,1,0.112465444,-1,-1,right,0.493402616,30,1.992664201,nope,0,0,right,TRUE,60.08401695,4,714
-22,655.4395245,1.110277059,67,1.693500123,102,1.727704461,104,2.310854707,139,2.344636362,141,17,3.343642516,nope,0,0,0.104761425,0,1,left,0.493777513,30,1.993818473,nope,0,0,right,FALSE,60.08401695,4,714
-23,660.8234863,1.159624034,70,1.743150315,105,1.775758355,107,2.092908936,126,2.125825882,128,1,2.143299249,right,2,1,0.11351954,1,1,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-24,662.989058,1.07823108,65,1.694313632,102,1.728258557,104,2.210982024,133,2.244512231,135,11,3.145565696,down,0,0,0.109156613,-1,-1,bottom,0.495389739,30,1.9950211,nope,0,0,left,FALSE,60.08401695,4,714
-25,668.1753964,1.19113526,72,1.591430967,96,1.624153354,98,2.657790511,160,2.69098678,162,44,2.791952295,left,1,1,0.114705409,-1,-1,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-26,670.9905616,1.140972501,69,1.657048113,100,1.690706319,102,2.757353719,166,2.79112172,168,46,3.790139252,nope,0,0,0.111722332,-1,-1,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-27,674.8049497,1.011834559,61,1.695009381,102,1.728432636,104,2.394968649,144,2.428720721,146,22,2.761842807,left,1,1,0.115961869,-1,-1,right,0.498597693,30,1.183058769,s,0,1,right,TRUE,60.08401695,4,714
-28,678.7897609,1.010068164,61,1.510315061,91,1.543907276,93,1.894139211,114,1.927394645,116,3,2.026365073,left,1,1,0.11369941,0,-1,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-29,680.8358755,1.081892437,65,1.732521797,104,1.764936415,106,2.481412751,149,2.51490598,151,25,3.51456351,nope,0,0,0.111848844,-1,-1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-30,684.3725955,1.194249917,72,1.82675624,110,1.860079371,112,2.560576237,154,2.593972755,156,24,2.794648252,right,2,1,0.114669554,1,1,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-31,687.1890736,1.094618442,66,1.710799412,103,1.744562861,105,2.093931226,126,2.12752401,128,3,2.361574406,down,1,0,0.113142831,1,-1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-32,689.5724171,1.144905218,69,1.827617535,110,1.860757485,112,2.444576742,147,2.477523839,149,17,2.678012172,right,1,0,0.115498044,0,0,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-33,692.2725174,1.094361874,66,1.560229785,94,1.593516507,96,2.194671462,132,2.227366542,134,18,2.445524508,right,3,0,0.117799112,0,0,left,0.493699575,30,1.776254425,d,0,0,left,TRUE,60.08401695,4,714
-34,696.5356539,1.14852334,69,1.682165048,101,1.71579424,103,2.315061628,139,2.348443354,141,18,2.415580566,right,2,1,0.12007502,1,1,left,0.49454551,30,1.827774548,s,0,1,left,TRUE,60.08401695,4,714
-35,700.8206117,1.179518585,71,1.913901212,115,1.946813038,117,2.563059429,154,2.596701137,156,19,2.897314739,left,4,0,0.11877986,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-36,703.7388854,1.044805549,63,1.52817641,92,1.561323186,94,2.410810448,145,2.443962913,147,33,3.444304814,nope,0,0,0.120790822,-1,-1,bottom,0.495517739,30,1.56313566,d,0,1,right,FALSE,60.08401695,4,714
-37,708.7902718,1.125969241,68,1.659394203,100,1.693278257,102,2.042788275,123,2.443962913,147,3,2.042788275,left,2,0,0.122834154,-1,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-38,710.855241,1.028124641,62,1.661208953,100,1.694627089,102,2.62848486,158,2.661664632,160,38,3.661472348,nope,1,0,0.124918255,-1,-1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-39,714.5364412,1.197893639,72,1.680478298,101,1.713732593,103,2.097438984,126,2.130482792,128,5,2.414431414,left,2,0,0.127050709,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-40,716.9718975,1.194996297,72,1.761936674,106,1.795383823,108,2.378440203,143,2.411920916,145,17,2.563082754,down,2,0,0.129238772,-1,-1,right,0.493569869,30,1.626824848,s,0,1,right,TRUE,60.08401695,4,714
-41,721.2033134,1.130583485,68,1.64731673,99,1.680995985,101,2.080386024,125,2.114373047,127,6,3.114183038,nope,0,0,0.131329699,-1,-1,bottom,0.496191301,30,1.496811957,d,0,1,right,FALSE,60.08401695,4,714
-42,725.8566234,1.110688934,67,1.610420419,97,1.644017185,99,2.525699475,152,2.559377023,154,35,2.726307274,right,4,1,0.133502684,1,1,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-43,728.606478,1.110145078,67,1.626671248,98,1.659704247,100,2.09282531,126,2.126442556,128,8,2.759665677,left,0,1,0.132197718,-1,-1,bottom,0.497390515,30,1.832187974,d,0,1,left,FALSE,60.08401695,4,714
-44,733.2410688,0.992673303,60,1.475565161,89,1.50846504,91,1.858533136,112,1.891922258,114,3,2.559627902,right,0,1,0.131086786,1,1,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-45,735.826915,1.156049147,70,1.555101836,94,1.588901126,96,2.305734723,139,2.338821767,141,25,2.972436282,left,0,1,0.130110014,0,-1,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-46,738.8234374,1.175991485,71,1.643013668,99,1.67570761,101,2.759454619,166,2.792595707,168,47,3.292422765,left,0,1,0.129229125,-1,-1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-47,742.1354617,0.998673924,60,1.54851071,93,1.581679673,95,2.448649974,147,2.481824626,149,34,3.099588808,right,0,1,0.128419386,1,1,left,0.4944488,30,1.22830805,d,0,1,bottom,FALSE,60.08401695,4,714
-48,746.5059562,1.161175958,70,1.627446641,98,1.66091427,100,2.593745769,156,2.627083691,158,38,3.293921783,down,0,1,0.127699454,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-49,749.8216613,1.112363168,67,1.511812372,91,1.545092837,93,2.161507619,130,2.194530947,132,19,2.9120876,down,0,1,0.127026242,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
1,772.3347747,1.081626767,65,1.798272631,108,1.832417804,110,2.264506906,136,2.297892046,138,8,3.298297662,nope,0,1,0,0,0,left,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
2,775.6559906,1.143100708,69,1.876608386,113,1.909745491,115,2.576318481,155,2.610452277,157,22,3.610168971,nope,0,0,0.126913447,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
3,779.2887426,1.027650189,62,1.577386851,95,1.61045569,97,2.277821709,137,2.310822281,139,22,2.794901406,left,0,1,0.126913447,1,-1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
4,782.1058198,1.160659977,70,1.72689209,104,1.760504785,106,2.410975425,145,2.443318933,147,21,2.927287694,right,0,1,0.126913447,1,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
5,785.0564535,1.110394819,67,1.70983913,103,1.742923329,105,2.643297543,159,2.676820922,161,36,3.244445671,down,0,1,0.126913447,0,0,right,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
6,788.3251104,1.156726123,70,1.872820167,113,1.906032365,115,2.422269541,146,2.45549141,148,13,2.989882343,down,0,1,0.126913447,1,0,left,0.494312267,30,1.678556597,d,0,1,right,FALSE,60.08401695,4,714
7,793.039119,1.02743515,62,1.810245998,109,1.843417806,111,2.293715845,138,2.327640859,140,9,2.760599789,down,0,1,0.126913447,1,0,left,0.496283461,30,1.428998338,d,0,0,left,TRUE,60.08401695,4,714
8,797.2719223,1.010891344,61,1.74527397,105,1.777991806,107,2.411314482,145,2.444441347,147,20,3.027481799,right,0,1,0.126913447,1,1,left,0.497289253,30,1.364442166,d,0,0,left,TRUE,60.08401695,4,714
