Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,wmarith_probeStartTime,wmarith_probeStartFrame,ButtonPressTime_wmarith,Key_wmarith,false_presses_wmarith,Acc_wmarith,PenultimateAbsent,Corr_wmarith_choice,frameRate,session,participant
0,141.0700146,1.115814038,67,1.51413912,91,1.547438358,93,1.965003203,118,1.998577782,120,7,2.998155099,nope,0,0,0.0935,1,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-1,144.0922758,1.076956204,65,1.509577783,91,1.543333269,93,2.209411896,133,2.243045071,135,22,3.242930724,nope,0,0,0.0935,1,-1,bottom,0.487797372,30,1.987260342,nope,0,0,bottom,TRUE,60.08401695,4,714
-2,149.4071764,1.128216345,68,1.528228747,92,1.561861353,94,2.394553361,144,2.427521507,146,32,3.427825292,nope,0,0,0.0935,1,1,bottom,0.494955678,30,1.995257757,nope,0,0,bottom,TRUE,60.08401695,4,714
-3,154.8718223,1.198055202,72,1.947867754,117,1.98077446,119,2.598076137,156,2.630947572,158,19,3.630415094,nope,0,0,0.0935,-1,-1,right,0.493140928,30,1.993663166,nope,0,0,bottom,FALSE,60.08401695,4,714
-4,160.5418815,1.159814611,70,1.876294929,113,1.909484941,115,2.592746803,156,2.626310574,158,23,3.626580226,nope,0,0,0.0935,1,0,left,0.49265453,30,1.993268359,nope,1,0,right,FALSE,60.08401695,4,714
-5,166.2086462,1.076629094,65,1.660082557,100,1.692509691,102,2.242778832,135,2.276175918,137,15,3.276124718,nope,0,0,0.0935,-1,-1,right,0.496226572,30,1.996485416,nope,0,0,left,FALSE,60.08401695,4,714
-6,171.5255521,1.11003642,67,1.559704133,94,1.593531867,96,2.075924811,125,2.109242254,127,11,3.109441933,nope,0,0,0.0935,0,0,left,0.494443111,30,0.745221633,d,0,1,right,FALSE,60.08401695,4,714
-7,175.4240576,1.010860055,61,1.460891856,88,1.494624586,90,2.111341447,127,2.144679938,129,19,3.144190695,nope,0,0,0.0935,1,1,bottom,0.495568369,30,1.995652565,nope,0,0,left,FALSE,60.08401695,4,714
-8,180.6089538,1.009714885,61,1.459143666,88,1.49188767,90,2.075672794,125,2.108762682,127,17,3.109547746,nope,0,0,0.0935,-1,0,right,0.493362225,30,1.992611294,nope,0,0,bottom,FALSE,60.08401695,4,714
-9,185.7577127,1.077644557,65,1.47774343,89,1.510739451,91,2.143908527,129,2.177781204,131,20,3.177380707,nope,0,0,0.0935,0,-1,right,0.495818111,30,1.995485312,nope,0,0,right,TRUE,60.08401695,4,714
-10,190.9753717,1.12699722,68,1.659638825,100,1.693061512,102,2.643424973,159,2.676206524,161,39,3.676214489,nope,0,0,0.0935,1,1,bottom,0.495473365,30,0.63072912,d,0,1,right,FALSE,60.08401695,4,714
-11,195.3252066,1.143110948,69,1.709908534,103,1.742959738,105,2.241821963,135,2.275403369,137,12,3.275498942,nope,0,0,0.0935,-1,1,bottom,0.493633015,30,1.993998241,nope,0,0,bottom,TRUE,60.08401695,4,714
-12,200.6429101,1.141408838,69,1.725414121,104,1.757971531,106,2.306906062,139,2.340463575,141,15,3.340725263,nope,0,0,0.0935,0,0,right,0.494860674,30,0.995451748,d,0,1,bottom,FALSE,60.08401695,4,714
-13,205.0242784,1.077211634,65,1.77703892,107,1.810323936,109,2.893514004,174,2.926636887,176,47,3.927055019,nope,0,0,0.0935,-1,-1,bottom,0.492263135,30,1.992074834,nope,0,0,right,FALSE,60.08401695,4,714
-14,210.9910537,1.160560422,70,1.694088353,102,1.727202702,104,2.79374941,168,2.826900737,170,46,3.827199403,nope,0,0,0.0935,1,0,left,0.494317955,30,0.811200022,d,0,1,bottom,FALSE,60.08401695,4,714
-15,215.6744418,1.111782335,67,1.744291502,105,1.777801797,107,2.7435309,165,2.776592912,167,40,3.777237461,nope,0,0,0.0935,-1,-1,right,0.493151737,30,1.993525496,nope,0,0,left,FALSE,60.08401695,4,714
-16,221.4880647,1.198039843,72,1.597503268,96,1.63131678,98,2.031037912,122,2.064192084,124,6,3.063502593,nope,0,0,0.0935,1,-1,bottom,0.498036202,30,1.997825713,nope,0,0,right,FALSE,60.08401695,4,714
-17,226.5910874,1.06008927,64,1.760223755,106,1.793199296,108,2.410268299,145,2.444103997,147,19,3.443518043,nope,0,0,0.0935,0,-1,right,0.494664408,30,1.095088911,s,0,0,bottom,FALSE,60.08401695,4,714
-18,231.1739799,1.194433667,72,1.727604337,104,1.760975823,106,2.344533393,141,2.377574356,143,17,3.376863247,nope,0,0,0.0935,1,1,left,0.4963705,30,1.996278909,nope,0,0,right,FALSE,60.08401695,4,714
-19,236.5876109,1.11461141,67,1.714683204,103,1.747333911,105,2.114208638,127,2.148048319,129,4,3.14815015,nope,0,0,0.0935,-1,-1,right,0.49560876,30,0.630527165,d,0,1,left,FALSE,60.08401695,4,714
0,272.9693791,1.04922637,63,1.615411834,97,1.648406149,99,2.065647866,124,2.09865754,126,7,3.098632509,nope,0,0,0.0935,1,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,60.08401695,4,714
-1,276.089846,1.145424043,69,1.8116813,109,1.845259293,111,2.511481849,151,2.544975646,153,22,3.545439858,nope,0,0,0.0935,1,-1,bottom,0.497809216,30,1.997273324,nope,0,0,bottom,TRUE,60.08401695,4,714
